거두절미 올해 최고의 걸작,'9.75'
이토록 단순하고 묵직한 감동,'9'
두려울 정도로 경이롭고 아름답다,'9.5'
단언컨대  아이맥스 3D로,'8.75'
지구영화를 과거의 것으로 만들 진짜 우주영화의 도래,'7'
우주 속 여성 실존 고투  건조 단순해도 외로움이 힘!,'7'
어떤 영화는 관람이 아니라 체험된다. 경이롭다,'10'
허풍도 적절한 ‘우주 서커스’,'8'
압도적인 비주얼과 긴박한 조난극으로 전하는 다시 사는 삶!,'9'
많은 이들의 '인생 영화','8.5'
얕고 넓은 바다의 왕자가 선사하는 쇼  쇼  쇼,'7'
있을 건 다 있는 워터파크,'5'
DC  물 만났네!,'7'
<인디아나 존스>부터 <고질라>까지  다양하게도 모아둔 거대 테마파크,'7'
가장 DC답지 않은 방식으로 만든  가장 매력적인 DC 영화,'8'
수조 밖으로 각종 크리처와 사연과 갈등이 흘러넘친다,'7'
위대한 뮤지션에 바치는 미완의 송가,'6'
‘퀸 포에버 정신’에 동기화 성공,'6'
싱어이기에 가능했을  머큐리와 그의 시간에 바치는 아름다운 헌사,'7'
부적응자도  소수자도  모두가 “We are the champions”,'6'
히트곡이 이렇게 많았나 새삼 깨닫게 되는  후반부 메들리에 주목,'6'
Queen is the champion of the world,'6'
퀸의 혼이 깨어났다,'6'
그대를 사랑한다고 말하기,'7.75'
사랑에도 연륜이 필요해,'7.25'
모든 게 사랑스럽지만 그중에도 이순재!,'7.5'
사랑하는 기쁨  사랑받는 축복,'7.75'
가마솥에 장작불로 끓인 숭늉 맛,'6'
관록 넘치는 배우들의 멋진 호흡  짜릿하다,'7'
차가운 도시 할아버지 이순재의 매력이란,'7'
오차 없이 정확한 이순재,'6'
다시 만나도 반가운 일본 멜로 걸작,'7'
지극(또는 지독)한 헌신과 순수한 사랑의 교차로,'6'
나무늘보 만세!,'7'
태어날 때부터 정해지는 건 없다,'7'
볼거리+귀여움+감동의 3박자를 다 갖췄다,'8'
차이와 편견에 대한 디즈니의 흥미로운 우화,'7'
현실의 문제를 더욱 또렷하게 드러내는 잘 만든 우화의 탄력,'7'
버려진 개들이 바라본 한국적인 것들의 총합,'7'
익숙함으로 마음을 움직이는  모두의 동화,'7'
동물애호가 아닌 동물권을 향한 진일보,'7'
지구가 인간의 것이라 착각하는 이들에게,'7'
신비한 ‘댕댕’들과 유기하고 잡아가는 인간들의 범죄,'7'
누가 더 약자인지 서로의 불행을 경쟁하지 않는  어른의 우정.,'7'
이 우정  그린라이트!,'8'
길 위에서 타인을 배우다,'7'
<드라이빙 미스 데이지>의 재해석. 언제 봐도 먹히는 <별난 커플>식 구도,'7'
인종차별 없는 그린 사회를 지향하는 북,'8'
백인 시점의 “내가 첫 흑인 친구를 사귀기까지”,'6'
심각한 주제를 넉넉한 웃음으로,'8'
안정감과 진부함은 한끗 차이,'5'
가해자의 책임을 알지 못하는 희생에 대해,'7'
구조의 실패라는 재난,'6'
좋은 아빠들 위로 나쁜 아버지 하나,'6'
여기  사람이 있다!,'6'
미스터리보단 드라마  실화보단 분위기  사연보단 사람,'6'
또 다른 이름의 '내 인생을 망치러 온 나의 구원자','6'
악명 높은 인물의 매혹적인 현신,'6'
기다림의 흔적들이 주는 작은 행복,'7'
함께 무르익는 기쁨,'6'
고맙고 말간 '말'(言)의 영화,'6'
착하고 순진한 이야기,'6'
한 발자국 나아간 역사극,'7'
울리려고 마구 꼬집어서 울긴 울었다,'5'
대중영화 이야기꾼으로서 엄유나 감독이 가진 재능에 주목,'6'
말을 모으기 이전 배우의 케미가 ‘모이’지를 않는다,'5'
의로운 사람들이 기억되도록,'6'
얄팍한 바디체인지,'4'
밑도 끝도 없는 보디체인지 영화는 왜 자꾸 나오는 걸까?,'4'
팔짱 끼고 보다 그놈에게 허를 찔렸다,'4'
소나기처럼 몰아치는 카메오와 오마주의 잔 펀치,'6'
뭉클하고 사랑스러운 상상력,'8'
반박불가 디즈니,'7'
집 떠나라  5G 시대가 열릴 것이다,'8'
철저히 (아동) 팬에 맞춘 눈높이 광고,'5'
성장과 우정. 기본으로 돌아간 시리즈의 심폐 소생,'7'
시리즈에서 사라졌던 정서를 되찾다,'7'
나비처럼 날아서 범블비로 쏘는 특처방,'6'
형들이 초 쳐놓은 길을 노랑 겸둥이가 치우는구나,'6'
80년대 앰블린 영화의 향기가 물씬,'7'
소녀의 시선으로 다시 쓴 <트랜스포머> 전사(前事),'7'
범블비 한대  아니 한 마리 키우고 싶다,'7'
2018년 버전의 ＜E.T＞와의 조우,'8'
4전5기의 상대적 성취감,'6'
거품의 성공학  욕망의 범죄학,'5'
혈기 부족한 범죄 실화극,'4'
관객을 설득하는 데는 재능 없는 사기꾼들,'4'
모든 딱딱한 경계를 허물고 ‘생명의 숨결(anima)’을 불어넣다,'10'
의심할 필요 없는 올해의 슈퍼히어로 영화,'9'
소니  회심의 일격,'8'
스파이더맨들에게서 <레고 무비>의 향기가. 코믹스 양식의 스마트한 응용,'8'
더 신나게 놀 스탠 리를 기리며,'7'
이게 걸작일 줄은 나도 몰랐고 당신들도 몰랐을 것,'8'
스파이더버스: 더 비기닝. 속편을 열렬히 청원합니다,'8'
You’re not alone  We are the ‘Web’ world,'8'
완벽하게 몰입할 수 있는 체험형 오락영화,'8'
용감한 시도엔 박수  캐릭터 구축은 아쉬움,'6'
한국 액션영화의 기술적 성취,'7'
‘이야기’ 보다  ‘형식’,'7'
준수한 기술적 완성도. 사람잡는 스펙터클,'7'
미션 임파서브로맨스,'7'
정교한 촬영  뒤숭숭한 이야기,'5'
볼 것 안 볼 것 잘 가리는 전지적 디지털 시점,'7'
훈장 수여감. 단  어지러운 건 각자 몫,'8'
무대를 지하 벙커로 옮긴 ‘더 사투 라이브’,'7'
장면은 음악이 되고 음악은 이야기가 되어,'7'
뜨거웠던 한 시절에 보내는 러브레터,'7'
현재의 청춘이 과거의 청춘을 향해 보내는 무한정 리스펙트. 애틋하고 귀엽다,'7'
흑백의 시대가 막을 수 없었던,'7'
억압만큼 거셌던  지나간 시절의 음악과 사랑,'7'
이념이 발목 잡아도 청춘은 바통을 넘겨 쥐며 음악처럼 질주한다,'8'
사랑과 청춘과 시대의 명암이 반짝반짝,'7'
안과 밖의 중간계가 확장하는 인식의 건축면적,'7'
모든 ‘처음’을 응원하는 호소다 마모루의 ‘이것이 진짜 육아’,'6'
직선의 시선. 폐곡선의 깨달음,'7'
사랑하는 빈센트에게  사랑을 담아.,'7'
반 고흐에게 더 가까이 다가가는 정성,'7'
영화가 실존 인물을 그려내는 독창적인 방법,'8'
일렁임  그 영혼의 질감,'6'
꿈틀대는 붓의 맥박! 아픔으로 피어나는 예술 현장!,'8'
영화가 빈센트와 테오 형제를 계속 불러내는 이유를 생각해본다,'7'
반 고흐에 관한 이 이상의 영화가 나올 수 있을까?,'9'
독보적인 화면은 물론이고  스토리텔링도 흥미진진,'8'
‘시네마’를 향한 순수한 경탄을 부른다,'9'
사적 기억이 역사로 번지는 교차로에서 시네마의 자리를 증명하다,'9'
장면 하나하나 압축된 사운드  비주얼 그리고 시대의 공기,'9'
삶의 격랑을 넘는 지혜  사랑!,'8'
나를 키운 여자들에게 바치는  가장 사적인 재료에서 끌어올린 영화미학,'9'
기다림의 흔적들이 주는 작은 행복,'7'
함께 무르익는 기쁨,'6'
마음속에 족자 하나쯤 걸어둘 공간을 마련해야겠다,'7'
